repeat,fold,target,arm,n,f1_macro,balanced_accuracy,cohen_kappa,quadratic_kappa,auroc_ovr_macro
1,1,protein_restriction,rules,39611,0.32086377129624855,0.357691120821425,0.09367254768885258,0.15274227695822706,
1,1,carb_sensitivity,tabnet,39496,0.488556128113546,0.5297114256765801,0.2988549184631324,0.4170674677967017,0.7717385136303898
1,1,carb_sensitivity,rules,39496,0.31972980999463996,0.4295863074972088,0.0917982926408012,0.16903816316418196,
1,2,sodium_sensitivity,tabnet,32417,0.38969054263553665,0.5048241431487802,0.17053005091950502,0.204647167401657,0.7424120369997317
1,2,sodium_sensitivity,rules,32417,0.3605135579811263,0.4474755325259541,0.11445429466861856,0.1845053475773567,
1,2,potassium_sensitivity,tabnet,39521,0.4214972968310044,0.4877930138450093,0.18377904201721973,0.25683297087229795,0.7306715449687764
1,2,potassium_sensitivity,rules,39521,0.3862153323205275,0.47052061407385753,0.13577042706283793,0.22489601988447194,
1,2,protein_restriction,tabnet,39419,0.3859832143629973,0.48273088786939594,0.15538920903213482,0.07999930049006321,0.6811499158258921
1,2,protein_restriction,rules,39419,0.3191819154514253,0.3628651621388966,0.09401385190401801,0.15389661465498317,
1,2,carb_sensitivity,tabnet,39303,0.5023181525200237,0.5286408234879941,0.30355984031639327,0.44177976822928544,0.7699946540045749
1,2,carb_sensitivity,rules,39303,0.3172745338111171,0.4209085010346168,0.08813281280493779,0.1681922431941778,
1,3,sodium_sensitivity,tabnet,33178,0.4114316676000729,0.5224589643504507,0.1861315079406164,0.2534360192586135,0.7530716972450096
1,3,sodium_sensitivity,rules,33178,0.3725864743290421,0.46063612228603185,0.119121484954121,0.19554918902931984,
1,3,potassium_sensitivity,tabnet,40332,0.42095756560272407,0.4877928565174754,0.17923894533301687,0.259447781661613,0.7218419415892569
1,3,potassium_sensitivity,rules,40332,0.3916432145206375,0.472198324523424,0.14043803404506905,0.233756068324516,
1,3,protein_restriction,tabnet,40200,0.37287585553234814,0.4877233437852256,0.1427534889904365,0.061803288680709945,0.6801179321441583
1,3,protein_restriction,rules,40200,0.3168411252437871,0.3568845971071312,0.09390532022873221,0.15489171246654732,
1,3,carb_sensitivity,tabnet,40091,0.49644652553169505,0.5302968491368644,0.31119421440687167,0.4322313743042343,0.7730155667666301
1,3,carb_sensitivity,rules,40091,0.3262779899728199,0.4319052941716597,0.09691510634843037,0.1792490446803714,
1,4,sodium_sensitivity,tabnet,31304,0.38260294277826773,0.5198507208183666,0.16758817247608748,0.21261672762684236,0.7546948905698785
1,4,sodium_sensitivity,rules,31304,0.3677124538445357,0.45285564727989963,0.12113468015825546,0.19215272512085058,
1,4,potassium_sensitivity,tabnet,38820,0.4126320134150148,0.48015893782360614,0.16762024373966244,0.24144321988282325,0.7196920593789661
1,4,potassium_sensitivity,rules,38820,0.38687294541266887,0.4664550608183455,0.1321629038792138,0.22065372739205324,
1,4,protein_restriction,tabnet,38725,0.3729492963849543,0.492152450600748,0.13826591030730584,0.06279599137518366,0.6833213869644513
1,4,protein_restriction,rules,38725,0.31938506202126843,0.3512390945095328,0.09331913555691351,0.15047364931053941,
1,4,carb_sensitivity,tabnet,38598,0.5008834894681643,0.5297054081378743,0.30719848467942024,0.43313607216883654,0.7741736009471737
1,4,carb_sensitivity,rules,38598,0.31127053041553193,0.42038961217763254,0.08217674820489496,0.16726828636893187,
2,0,sodium_sensitivity,tabnet,32819,0.41511510370077404,0.5111202623783404,0.1931835044685568,0.2505920398370932,0.7493369478739726
2,0,sodium_sensitivity,rules,32819,0.3766395575525328,0.4608457867495715,0.12036499857522809,0.19953573071942532,
2,0,potassium_sensitivity,tabnet,39748,0.41294600748028326,0.4813469208816901,0.16756858849631373,0.24188225281919262,0.7182796646383549
2,0,potassium_sensitivity,rules,39748,0.3857831604455299,0.46668956495436703,0.13217830836514777,0.21902624105122181,
2,0,protein_restriction,tabnet,39656,0.3972482951266343,0.48687731289815384,0.16223932629936177,0.08795269293197239,0.6787086755315649
2,0,protein_restriction,rules,39656,0.32423666890831565,0.36264718365166365,0.09901334636634584,0.15434352649577687,
2,0,carb_sensitivity,tabnet,39522,0.5014775023430266,0.5290090264455225,0.31291064990469186,0.4326103526426951,0.7724718948123063
2,0,carb_sensitivity,rules,39522,0.32118790536214364,0.427871153011887,0.09327246782944432,0.17270179964441834,
